folder	key	title	score	year	developer	source
megadrive	wwf royal rumble	WWF Royal Rumble	78	1993	Sculptured Software, Inc.	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	hellfire	Hellfire	78	1990	Toaplan Co., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	elemental master	Elemental Master	78	1990	Technosoft Co., Ltd.	https://www.mobygames.com/game/title:e/platform:genesis/sort:-critic_score/page:2/
megadrive	pinocchio	Pinocchio	78	1995	Virgin Studios London	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	sagaia	Sagaia	78	1990	Taito Corporation	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	art alive	Art Alive	64	1991	Western Technologies Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	nhl all star hockey 95	NHL All-Star Hockey '95	64	1995	Sega Midwest Development Division	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	ast rix and the power of the gods	Astérix and the Power of the Gods	65	1995	Core Design Ltd.	https://www.mobygames.com/game/title:e/platform:genesis/sort:-critic_score/page:1/
megadrive	spider man x men arcade s revenge	Spider-Man / X-Men: Arcade's Revenge	65	1993	Software Creations Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	art of fighting	Art of Fighting	65	1994	SNK Corporation	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	two crude dudes	Two Crude Dudes	65	1992	Data East Corporation	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	brutal paws of fury	Brutal: Paws of Fury	65	1994	GameTek, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	the super aquatic games	The Super Aquatic Games	65	1993	Vectordean Ltd.	https://www.mobygames.com/game/title:e/platform:genesis/sort:-critic_score/page:1/
megadrive	garfield caught in the act	Garfield: Caught in the Act	66	1995	Novotrade Software Kft.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	ballz 3d fighting at its ballziest	Ballz 3D: Fighting at its Ballziest	67	1994	PF Magic	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	barkley shut up and jam	Barkley: Shut Up and Jam!	67	1994	Accolade, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	tintin in tibet	Tintin in Tibet	67	1995	Infogrames Multimedia SA	https://www.mobygames.com/game/title:e/platform:genesis/sort:-critic_score/page:1/
megadrive	nickelodeon aaahh real monsters	Nickelodeon: Aaahh!!! Real Monsters	68	1995	Realtime Associates, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	ms pac man	Ms. Pac-Man	68	1991	General Computer Corporation	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	where in the world is carmen sandiego enhanced	Where in the World Is Carmen Sandiego? (Enhanced)	68	1992	Sculptured Software, Inc.	https://www.mobygames.com/game/title:e/platform:genesis/sort:-critic_score/page:1/
megadrive	toki going ape spit	Toki: Going Ape Spit	68	1991	Tad Corporation	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	dragon the bruce lee story	Dragon: The Bruce Lee Story	68	1994	Virgin Interactive Entertainment (Europe) Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	dangerous seed	Dangerous Seed	68	1990	Namco Limited	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	williams arcade classics	Williams Arcade Classics	69	1996	Digital Eclipse Software, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	nba action 95 starring david robinson	NBA Action '95 starring David Robinson	69	1995	Double Diamond Sports	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	r c pro am	R.C. Pro-Am	69	1992	Rare Limited	https://www.mobygames.com/game/title:e/platform:genesis/sort:-critic_score/page:1/
megadrive	air buster	Air Buster	69	1991	Kaneko Co., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	hardball iii	HardBall III	70	1993	MindSpan	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	alien storm	Alien Storm	70	1991	Team Shinobi	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	fatal fury	Fatal Fury	70	1993	SNK Corporation	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	pac mania	Pac-Mania	70	1991	Namco Limited	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	lakers versus celtics and the nba playoffs	Lakers versus Celtics and the NBA Playoffs	70	1990	Electronic Arts, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	addams family values	Addams Family Values	70	1995	Ocean Software Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	wayne gretzky and the nhlpa all stars	Wayne Gretzky and the NHLPA All-Stars	70	1995	Semi Logic Entertainments, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	james pond underwater agent	James Pond: Underwater Agent	70	1991	Vectordean Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	gain ground	Gain Ground	71	1991	SEGA Enterprises Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	raiden	Raiden	71	1991	Seibu Kaihatsu Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	tiny toon adventures acme all stars	Tiny Toon Adventures: Acme All-Stars	71	1994	Konami Co., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	the adventures of batman robin	The Adventures of Batman & Robin	71	1995	Clockwork Tortoise Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	joe mac caveman ninja	Joe & Mac: Caveman Ninja	71	1994	Data East Corporation	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	king s bounty	King's Bounty	71	1991	New World Computing, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	terminator 2 judgment day	Terminator 2: Judgment Day	71	1993	Midway Manufacturing Company	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	the addams family	The Addams Family	71	1993	Ocean Software Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
