folder	key	title	score	reviews	year	id	link
windows	the city of lost children	The City of Lost Children	60	3	1997	196922	http://www.gamerankings.com/pc/196922-the-city-of-lost-children/index.html
windows	the climb	The Climb	68.5	7	2016	184346	http://www.gamerankings.com/pc/184346-the-climb/index.html
windows	the club	The Club	67.39	18	2008	939454	http://www.gamerankings.com/pc/939454-the-club/index.html
windows	the collider 2	The Collider 2	71.67	12	2016	189110	http://www.gamerankings.com/pc/189110-the-collider-2/index.html
windows	the colonel s bequest a laura bow mystery	The Colonel's Bequest: A Laura Bow Mystery	80	4	1989	565069	http://www.gamerankings.com/pc/565069-the-colonels-bequest-a-laura-bow-mystery/index.html
windows	the coma cutting class	The Coma: Cutting Class	66.67	3	2015	181773	http://www.gamerankings.com/pc/181773-the-coma-cutting-class/index.html
windows	the conjuring house	The Conjuring House	59.75	4	2018	245586	http://www.gamerankings.com/pc/245586-the-conjuring-house/index.html
windows	the corporate machine	The Corporate Machine	76.5	12	2001	454285	http://www.gamerankings.com/pc/454285-the-corporate-machine/index.html
windows	the council episode 1 the mad ones	The Council - Episode 1: The Mad Ones	73.62	8	2018	229605	http://www.gamerankings.com/pc/229605-the-council-episode-1-the-mad-ones/index.html
windows	the council episode 2 hide and seek	The Council - Episode 2: Hide and Seek	77.5	4	2018	238409	http://www.gamerankings.com/pc/238409-the-council-episode-2-hide-and-seek/index.html
windows	the council episode 3 ripples	The Council - Episode 3: Ripples	68.8	5	2018	243583	http://www.gamerankings.com/pc/243583-the-council-episode-3-ripples/index.html
